Models,Accuracy,Precision,Recall,F1 Score
LR,86.81,81.67,98,89.09
DT,81.32,82.98,81.25,82.11
RF,83.52,78.43,90.91,84.21
GNB,87.91,88.46,90.19,89.32
SVM,87.91,89.8,88,88.89
KNN,86.9,88,88,88
NN,87.91,82.76,97.96,89.19
XGB,83.52,85.71,84,84.85
